"","all_data_2$member_casual","all_data_2$day_of_week","all_data_2$ride_length"
"1","casual","Monday",3372.28692301735
"2","member","Monday",842.572569441503
"3","casual","Tuesday",3596.35994917689
"4","member","Tuesday",826.142747003117
"5","casual","Wednesday",3718.66189688179
"6","member","Wednesday",823.999644234094
"7","casual","Thursday",3682.98467067268
"8","member","Thursday",823.92780326203
"9","casual","Friday",3773.83511159766
"10","member","Friday",824.530506415778
"11","casual","Saturday",3331.91384107319
"12","member","Saturday",968.933722973489
"13","casual","Sunday",3581.40538796313
"14","member","Sunday",919.974616087922
